ID	URL	Title	Author	Date
L2/16-282	http://www.unicode.org/L2/L2016/16282-breastfeeding-morzone.pdf	breastfeeding-morzone		2016
L2/16-280	http://www.unicode.org/L2/L2016/16280-breastfeeding-emoji.pdf	breastfeeding-emoji		2016
L2/16-279	http://www.unicode.org/L2/L2016/16279-person-meditating.pdf	person-meditating		2016
L2/16-275	http://www.unicode.org/L2/L2016/16275-almond-emoji.pdf	almond-emoji		2016
L2/16-274	http://www.unicode.org/L2/L2016/16274-mermaid-emoji.pdf	mermaid-emoji		2016
L2/16-273	http://www.unicode.org/L2/L2016/16273-coconut-emoji.pdf	coconut-emoji		2016
L2/16-272	http://www.unicode.org/L2/L2016/16272-pie-emoji.pdf	pie-emoji		2016
L2/16-260	http://www.unicode.org/L2/L2016/16260-beard-emoji.pdf	beard-emoji		2016
L2/16-254	http://www.unicode.org/L2/L2016/16254-n4747-halfstars.pdf	n4747-halfstars		2016
L2/16-253	http://www.unicode.org/L2/L2016/16253-n4746-ichthys.pdf	n4746-ichthys		2016
L2/16-252	http://www.unicode.org/L2/L2016/16252-n4745-indalo.pdf	n4745-indalo		2016
L2/16-247	http://www.unicode.org/L2/L2016/16247-climber-emoji.pdf	climber-emoji		2016
L2/16-240	http://www.unicode.org/L2/L2016/16240-socks-emoji-.pdf	socks-emoji-		2016
