codepoint,emoji,name
1f42a,🐪,Dromedary Camel
1f428,🐨,Koala
1f417,🐗,Boar
1f427,🐧,Penguin
1f426,🐦,Bird
1f424,🐤,Baby Chick
1f414,🐔,Chicken
1f98d,🦍,Gorilla
1f98c,🦌,Deer
1f98f,🦏,Rhinoceros
1f985,🦅,Eagle
1f40f,🐏,Ram
1f411,🐑,Sheep
1f410,🐐,Goat
1f418,🐘,Elephant
1f99,&#x1F992;,Giraffe
1f99,&#x1F993;,Zebra
1f99,&#x1F994;,Hedgehog
1f99,&#x1F995;Sauropod
1f99,&#x1F996;T-Rex
